scientific_name,taxon_id,dataset,image_count,role
Hypericum × hidcoteense,,plantnet300k-v2,1045,pretraining_only
Hypericum × inodorum,,plantnet300k-v2,8,pretraining_only
Ibicella lutea,,plantnet300k-v2,6,pretraining_only
Illicium floridanum,,plantnet300k-v2,12,pretraining_only
Illicium verum,,plantnet300k-v2,12,pretraining_only
Iva annua,,plantnet300k-v2,11,pretraining_only
Iva frutescens,,plantnet300k-v2,8,pretraining_only
Keckiella cordifolia,,plantnet300k-v2,4,pretraining_only
Kigelia africana,,plantnet300k-v2,123,pretraining_only
Kniphofia linearifolia,,plantnet300k-v2,30,pretraining_only
Kniphofia uvaria,,plantnet300k-v2,1884,pretraining_only
Lactuca biennis,,plantnet300k-v2,21,pretraining_only
Lactuca canadensis,,plantnet300k-v2,51,pretraining_only
Lactuca floridana,,plantnet300k-v2,52,pretraining_only
Lactuca muralis,,plantnet300k-v2,715,pretraining_only
Lactuca perennis,,plantnet300k-v2,641,pretraining_only
Lactuca saligna,,plantnet300k-v2,35,pretraining_only
Lactuca sativa,,plantnet300k-v2,928,pretraining_only
Lactuca serriola,,plantnet300k-v2,3788,pretraining_only
Lactuca tenerrima,,plantnet300k-v2,24,pretraining_only
Lactuca viminea,,plantnet300k-v2,128,pretraining_only
Lactuca virosa,,plantnet300k-v2,523,pretraining_only
Lagenaria siceraria,,plantnet300k-v2,142,pretraining_only
Lagenaria sphaerica,,plantnet300k-v2,12,pretraining_only
Lamium album,,plantnet300k-v2,2088,pretraining_only
Lamium amplexicaule,,plantnet300k-v2,1031,pretraining_only
Lamium bifidum,,plantnet300k-v2,19,pretraining_only
Lamium flexuosum,,plantnet300k-v2,83,pretraining_only
Lamium galeobdolon,,plantnet300k-v2,3424,pretraining_only
Lamium garganicum,,plantnet300k-v2,14,pretraining_only
Lamium hybridum,,plantnet300k-v2,827,pretraining_only
Lamium maculatum,,plantnet300k-v2,2265,pretraining_only
Lamium orvala,,plantnet300k-v2,105,pretraining_only
Lamium purpureum,,plantnet300k-v2,5628,pretraining_only
Lapageria rosea,,plantnet300k-v2,14,pretraining_only
Lapsana communis,,plantnet300k-v2,3484,pretraining_only
Lathraea clandestina,,plantnet300k-v2,564,pretraining_only
Lathraea squamaria,,plantnet300k-v2,341,pretraining_only
Lavandula angustifolia,,plantnet300k-v2,3423,pretraining_only
Lavandula canariensis,,plantnet300k-v2,27,pretraining_only
Lavandula dentata,,plantnet300k-v2,882,pretraining_only
Lavandula latifolia,,plantnet300k-v2,475,pretraining_only
Lavandula minutolii,,plantnet300k-v2,4,pretraining_only
Lavandula multifida,,plantnet300k-v2,71,pretraining_only
Lavandula pinnata,,plantnet300k-v2,13,pretraining_only
Lavandula spp.,,plantnet300k-v2,10,pretraining_only
Lavandula stoechas,,plantnet300k-v2,1916,pretraining_only
Lavandula × intermedia,,plantnet300k-v2,4,pretraining_only
Leersia oryzoides,,plantnet300k-v2,22,pretraining_only
Leersia virginica,,plantnet300k-v2,4,pretraining_only
Leonotis nepetifolia,,plantnet300k-v2,20,pretraining_only
Leptinella potentillina,,plantnet300k-v2,10,pretraining_only
Leucophyta brownii,,plantnet300k-v2,52,pretraining_only
Leuenbergeria bleo,,plantnet300k-v2,60,pretraining_only
Limbarda crithmoides,,plantnet300k-v2,366,pretraining_only
Limnanthes douglasii,,plantnet300k-v2,63,pretraining_only
Limonia acidissima,,plantnet300k-v2,5,pretraining_only
Liriodendron chinense,,plantnet300k-v2,5,pretraining_only
Liriope muscari,,plantnet300k-v2,315,pretraining_only
Lithodora fruticosa,,plantnet300k-v2,592,pretraining_only
Lithops aucampiae,,plantnet300k-v2,16,pretraining_only
Lithops fulviceps,,plantnet300k-v2,9,pretraining_only
Lithops karasmontana,,plantnet300k-v2,11,pretraining_only
Lithops marmorata,,plantnet300k-v2,14,pretraining_only
Lithops olivacea,,plantnet300k-v2,21,pretraining_only
Lithops pseudotruncatella,,plantnet300k-v2,160,pretraining_only
Lithops spp.,,plantnet300k-v2,75,pretraining_only
Lomatia ferruginea,,plantnet300k-v2,32,pretraining_only
Lophiolepis eriophora,,plantnet300k-v2,982,pretraining_only
Lophiolepis ferox,,plantnet300k-v2,19,pretraining_only
Lophiolepis morisiana,,plantnet300k-v2,7,pretraining_only
Loropetalum chinense,,plantnet300k-v2,201,pretraining_only
Luffa acutangula,,plantnet300k-v2,38,pretraining_only
Lupinus albifrons,,plantnet300k-v2,71,pretraining_only
Lupinus albus,,plantnet300k-v2,83,pretraining_only
Lupinus angustifolius,,plantnet300k-v2,661,pretraining_only
Lupinus arboreus,,plantnet300k-v2,131,pretraining_only
Lupinus argenteus,,plantnet300k-v2,12,pretraining_only
Lupinus bicolor,,plantnet300k-v2,19,pretraining_only
Lupinus chamissonis,,plantnet300k-v2,6,pretraining_only
Lupinus cosentinii,,plantnet300k-v2,4,pretraining_only
Lupinus diffusus,,plantnet300k-v2,4,pretraining_only
Lupinus formosus,,plantnet300k-v2,6,pretraining_only
Lupinus gussoneanus,,plantnet300k-v2,34,pretraining_only
Lupinus hirsutissimus,,plantnet300k-v2,4,pretraining_only
Lupinus luteus,,plantnet300k-v2,88,pretraining_only
Lupinus nootkatensis,,plantnet300k-v2,17,pretraining_only
Lupinus perennis,,plantnet300k-v2,13,pretraining_only
Lupinus pilosus,,plantnet300k-v2,4,pretraining_only
Lupinus polyphyllus,,plantnet300k-v2,2804,pretraining_only
Lupinus subcarnosus,,plantnet300k-v2,4,pretraining_only
Lupinus texensis,,plantnet300k-v2,24,pretraining_only
Lupinus × regalis,,plantnet300k-v2,27,pretraining_only
Lycoris radiata,,plantnet300k-v2,90,pretraining_only
Lycoris squamigera,,plantnet300k-v2,99,pretraining_only
Lyonothamnus floribundus,,plantnet300k-v2,4,pretraining_only
Maerua angolensis,,plantnet300k-v2,7,pretraining_only
Maerua triphylla,,plantnet300k-v2,6,pretraining_only
Maianthemum bifolium,,plantnet300k-v2,435,pretraining_only
Maianthemum canadense,,plantnet300k-v2,231,pretraining_only
Maianthemum racemosum,,plantnet300k-v2,248,pretraining_only
Maianthemum stellatum,,plantnet300k-v2,70,pretraining_only
Maianthemum trifolium,,plantnet300k-v2,4,pretraining_only
Maurandya barclayana,,plantnet300k-v2,4,pretraining_only
Mauritia flexuosa,,plantnet300k-v2,11,pretraining_only
Maytenus boaria,,plantnet300k-v2,16,pretraining_only
Maytenus ilicifolia,,plantnet300k-v2,8,pretraining_only
Mazus pumilus,,plantnet300k-v2,13,pretraining_only
Mecardonia procumbens,,plantnet300k-v2,14,pretraining_only
Melampodium divaricatum,,plantnet300k-v2,55,pretraining_only
Melampodium leucanthum,,plantnet300k-v2,10,pretraining_only
Melampodium perfoliatum,,plantnet300k-v2,4,pretraining_only
Melilotus albus,,plantnet300k-v2,1723,pretraining_only
Melilotus altissimus,,plantnet300k-v2,96,pretraining_only
Melilotus indicus,,plantnet300k-v2,708,pretraining_only
Melilotus italicus,,plantnet300k-v2,5,pretraining_only
Melilotus neapolitanus,,plantnet300k-v2,10,pretraining_only
Melilotus officinalis,,plantnet300k-v2,986,pretraining_only
Melilotus sulcatus,,plantnet300k-v2,14,pretraining_only
Mercurialis annua,,plantnet300k-v2,1535,pretraining_only
Mercurialis perennis,,plantnet300k-v2,910,pretraining_only
Mercurialis tomentosa,,plantnet300k-v2,60,pretraining_only
Mertensia ciliata,,plantnet300k-v2,13,pretraining_only
Mertensia maritima,,plantnet300k-v2,72,pretraining_only
Mertensia paniculata,,plantnet300k-v2,8,pretraining_only
Mertensia virginica,,plantnet300k-v2,147,pretraining_only
Metasequoia glyptostroboides,,plantnet300k-v2,543,pretraining_only
Meum athamanticum,,plantnet300k-v2,213,pretraining_only
Microchloa kunthii,,plantnet300k-v2,5,pretraining_only
Mitella diphylla,,plantnet300k-v2,8,pretraining_only
Moehringia ciliata,,plantnet300k-v2,205,pretraining_only
Moehringia lateriflora,,plantnet300k-v2,5,pretraining_only
Moehringia muscosa,,plantnet300k-v2,94,pretraining_only
Moehringia pentandra,,plantnet300k-v2,7,pretraining_only
Moehringia trinervia,,plantnet300k-v2,106,pretraining_only
Montanoa hibiscifolia,,plantnet300k-v2,23,pretraining_only
Morinda citrifolia,,plantnet300k-v2,274,pretraining_only
Mussaenda arcuata,,plantnet300k-v2,5,pretraining_only
Mussaenda erythrophylla,,plantnet300k-v2,144,pretraining_only
Mussaenda frondosa,,plantnet300k-v2,14,pretraining_only
Mussaenda philippica,,plantnet300k-v2,178,pretraining_only
Mussaenda pubescens,,plantnet300k-v2,4,pretraining_only
Nandina domestica,,plantnet300k-v2,1155,pretraining_only
Narthecium ossifragum,,plantnet300k-v2,147,pretraining_only
Neltuma alba,,plantnet300k-v2,5,pretraining_only
Neltuma glandulosa,,plantnet300k-v2,44,pretraining_only
Neltuma juliflora,,plantnet300k-v2,18,pretraining_only
Neltuma pallida,,plantnet300k-v2,6,pretraining_only
Neolamarckia cadamba,,plantnet300k-v2,25,pretraining_only
Neotinea conica,,plantnet300k-v2,9,pretraining_only
Neotinea lactea,,plantnet300k-v2,36,pretraining_only
Neotinea maculata,,plantnet300k-v2,19,pretraining_only
Neotinea tridentata,,plantnet300k-v2,182,pretraining_only
Neotinea ustulata,,plantnet300k-v2,432,pretraining_only
Nepenthes alata,,plantnet300k-v2,9,pretraining_only
Nepenthes mirabilis,,plantnet300k-v2,11,pretraining_only
Nepenthes spp.,,plantnet300k-v2,11,pretraining_only
Nepenthes truncata,,plantnet300k-v2,5,pretraining_only
Nepenthes vieillardii,,plantnet300k-v2,43,pretraining_only
Nepenthes × neglecta,,plantnet300k-v2,9,pretraining_only
Nephrolepis abrupta,,plantnet300k-v2,36,pretraining_only
Nephrolepis biserrata,,plantnet300k-v2,161,pretraining_only
Nephrolepis cordifolia,,plantnet300k-v2,489,pretraining_only
Nephrolepis exaltata,,plantnet300k-v2,688,pretraining_only
Nephrolepis falcata,,plantnet300k-v2,29,pretraining_only
Noccaea caerulescens,,plantnet300k-v2,42,pretraining_only
Noccaea montana,,plantnet300k-v2,10,pretraining_only
Noccaea rotundifolia,,plantnet300k-v2,83,pretraining_only
Nothofagus alpina,,plantnet300k-v2,8,pretraining_only
Nothofagus antarctica,,plantnet300k-v2,61,pretraining_only
Nothofagus betuloides,,plantnet300k-v2,8,pretraining_only
Nothofagus dombeyi,,plantnet300k-v2,39,pretraining_only
Nothofagus nitida,,plantnet300k-v2,13,pretraining_only
Nothofagus obliqua,,plantnet300k-v2,13,pretraining_only
Nothofagus pumilio,,plantnet300k-v2,34,pretraining_only
Nyctaginia capitata,,plantnet300k-v2,5,pretraining_only
Nymphaea alba,,plantnet300k-v2,1131,pretraining_only
Nymphaea ampla,,plantnet300k-v2,19,pretraining_only
Nymphaea candida,,plantnet300k-v2,94,pretraining_only
Nymphaea lotus,,plantnet300k-v2,34,pretraining_only
Nymphaea mexicana,,plantnet300k-v2,18,pretraining_only
Nymphaea nouchali,,plantnet300k-v2,61,pretraining_only
Nymphaea odorata,,plantnet300k-v2,79,pretraining_only
Nymphaea rubra,,plantnet300k-v2,4,pretraining_only
Nymphaea tetragona,,plantnet300k-v2,11,pretraining_only
Nymphoides indica,,plantnet300k-v2,19,pretraining_only
Nymphoides peltata,,plantnet300k-v2,92,pretraining_only
Odontites longiflorus,,plantnet300k-v2,7,pretraining_only
Oenothera hartwegii,,plantnet300k-v2,5,pretraining_only
Oldenlandia corymbosa,,plantnet300k-v2,43,pretraining_only
Ophrys apifera,,plantnet300k-v2,1881,pretraining_only
Ophrys bertolonii,,plantnet300k-v2,132,pretraining_only
Ophrys bombyliflora,,plantnet300k-v2,14,pretraining_only
Ophrys fusca,,plantnet300k-v2,202,pretraining_only
Ophrys holosericea,,plantnet300k-v2,401,pretraining_only
Ophrys insectifera,,plantnet300k-v2,258,pretraining_only
Ophrys lunulata,,plantnet300k-v2,5,pretraining_only
Ophrys lutea,,plantnet300k-v2,273,pretraining_only
Ophrys scolopax,,plantnet300k-v2,451,pretraining_only
Ophrys speculum,,plantnet300k-v2,129,pretraining_only
Ophrys sphegodes,,plantnet300k-v2,638,pretraining_only
Ophrys tenthredinifera,,plantnet300k-v2,132,pretraining_only
Ophrys × arachnitiformis,,plantnet300k-v2,66,pretraining_only
Ophrys × flavicans,,plantnet300k-v2,17,pretraining_only
Ophrys × minuticauda,,plantnet300k-v2,5,pretraining_only
Oreomecon alpina,,plantnet300k-v2,400,pretraining_only
Oreomecon crocea,,plantnet300k-v2,38,pretraining_only
Oreomecon nudicaulis,,plantnet300k-v2,71,pretraining_only
Osmunda claytoniana,,plantnet300k-v2,73,pretraining_only
Osmunda regalis,,plantnet300k-v2,390,pretraining_only
Osmundastrum cinnamomeum,,plantnet300k-v2,20,pretraining_only
Oxydendrum arboreum,,plantnet300k-v2,25,pretraining_only
Paederia foetida,,plantnet300k-v2,24,pretraining_only
Paederota bonarota,,plantnet300k-v2,7,pretraining_only
Pancratium canariense,,plantnet300k-v2,4,pretraining_only
Pancratium illyricum,,plantnet300k-v2,56,pretraining_only
Pancratium maritimum,,plantnet300k-v2,1294,pretraining_only
Papaver atlanticum,,plantnet300k-v2,27,pretraining_only
Papaver dubium,,plantnet300k-v2,514,pretraining_only
Papaver orientale,,plantnet300k-v2,1093,pretraining_only
Papaver rhoeas,,plantnet300k-v2,5008,pretraining_only
Papaver rupifragum,,plantnet300k-v2,7,pretraining_only
Papaver setiferum,,plantnet300k-v2,120,pretraining_only
Papaver somniferum,,plantnet300k-v2,3060,pretraining_only
Patzkea paniculata,,plantnet300k-v2,12,pretraining_only
Pelargonium alchemilloides,,plantnet300k-v2,35,pretraining_only
Pelargonium capitatum,,plantnet300k-v2,4,pretraining_only
Pelargonium crispum,,plantnet300k-v2,12,pretraining_only
Pelargonium echinatum,,plantnet300k-v2,5,pretraining_only
Pelargonium glechomoides,,plantnet300k-v2,9,pretraining_only
Pelargonium grandiflorum,,plantnet300k-v2,41,pretraining_only
Pelargonium graveolens,,plantnet300k-v2,2172,pretraining_only
Pelargonium inquinans,,plantnet300k-v2,1278,pretraining_only
Pelargonium odoratissimum,,plantnet300k-v2,18,pretraining_only
Pelargonium panduriforme,,plantnet300k-v2,5,pretraining_only
Pelargonium peltatum,,plantnet300k-v2,282,pretraining_only
Pelargonium quercifolium,,plantnet300k-v2,9,pretraining_only
Pelargonium quinquelobatum,,plantnet300k-v2,30,pretraining_only
Pelargonium sidoides,,plantnet300k-v2,13,pretraining_only
Pelargonium spp.,,plantnet300k-v2,35,pretraining_only
Pelargonium tomentosum,,plantnet300k-v2,14,pretraining_only
Pelargonium zonale,,plantnet300k-v2,3318,pretraining_only
Pelargonium × hybridum,,plantnet300k-v2,454,pretraining_only
Peperomia albovittata,,plantnet300k-v2,121,pretraining_only
Peperomia argyraea,,plantnet300k-v2,224,pretraining_only
Peperomia caperata,,plantnet300k-v2,334,pretraining_only
Peperomia clusiifolia,,plantnet300k-v2,27,pretraining_only
Peperomia columella,,plantnet300k-v2,5,pretraining_only
Peperomia dolabriformis,,plantnet300k-v2,4,pretraining_only
Peperomia ferreyrae,,plantnet300k-v2,123,pretraining_only
Peperomia graveolens,,plantnet300k-v2,34,pretraining_only
Peperomia maculosa,,plantnet300k-v2,5,pretraining_only
Peperomia magnoliifolia,,plantnet300k-v2,288,pretraining_only
Peperomia obtusifolia,,plantnet300k-v2,716,pretraining_only
Peperomia pecuniifolia,,plantnet300k-v2,25,pretraining_only
Peperomia pellucida,,plantnet300k-v2,160,pretraining_only
Peperomia polybotrya,,plantnet300k-v2,108,pretraining_only
Peperomia prostrata,,plantnet300k-v2,51,pretraining_only
Peperomia quadrangularis,,plantnet300k-v2,54,pretraining_only
Peperomia rotundifolia,,plantnet300k-v2,112,pretraining_only
Peperomia serpens,,plantnet300k-v2,267,pretraining_only
Peperomia tetragona,,plantnet300k-v2,7,pretraining_only
Peperomia verticillata,,plantnet300k-v2,29,pretraining_only
Pereskia aculeata,,plantnet300k-v2,60,pretraining_only
Petiveria alliacea,,plantnet300k-v2,47,pretraining_only
Petrosedum amplexicaule,,plantnet300k-v2,32,pretraining_only
Petrosedum forsterianum,,plantnet300k-v2,232,pretraining_only
Petrosedum montanum,,plantnet300k-v2,28,pretraining_only
Petrosedum ochroleucum,,plantnet300k-v2,118,pretraining_only
Petrosedum rupestre,,plantnet300k-v2,1629,pretraining_only
Petrosedum sediforme,,plantnet300k-v2,1964,pretraining_only
Phalaris aquatica,,plantnet300k-v2,40,pretraining_only
Phalaris arundinacea,,plantnet300k-v2,679,pretraining_only
Phalaris canariensis,,plantnet300k-v2,107,pretraining_only
Phalaris coerulescens,,plantnet300k-v2,18,pretraining_only
Phalaris minor,,plantnet300k-v2,19,pretraining_only
Phalaris paradoxa,,plantnet300k-v2,9,pretraining_only
Phedimus aizoon,,plantnet300k-v2,177,pretraining_only
Phedimus kamtschaticus,,plantnet300k-v2,133,pretraining_only
Phedimus spurius,,plantnet300k-v2,275,pretraining_only
Phedimus stellatus,,plantnet300k-v2,5,pretraining_only
Phonus lanatus,,plantnet300k-v2,327,pretraining_only
Phyllanthus acidus,,plantnet300k-v2,50,pretraining_only
Phyllanthus amarus,,plantnet300k-v2,90,pretraining_only
Phyllanthus emblica,,plantnet300k-v2,27,pretraining_only
Phyllanthus epiphyllanthus,,plantnet300k-v2,6,pretraining_only
Phyllanthus fischeri,,plantnet300k-v2,4,pretraining_only
Phyllanthus mimosoides,,plantnet300k-v2,12,pretraining_only
Phyllanthus niruri,,plantnet300k-v2,33,pretraining_only
Phyllanthus niruroides,,plantnet300k-v2,7,pretraining_only
Phyllanthus phillyreifolius,,plantnet300k-v2,15,pretraining_only
Phyllanthus reticulatus,,plantnet300k-v2,6,pretraining_only
Phyllanthus suffrutescens,,plantnet300k-v2,6,pretraining_only
Phyllanthus tenellus,,plantnet300k-v2,115,pretraining_only
Phyllanthus urinaria,,plantnet300k-v2,83,pretraining_only
Pilocarpus racemosus,,plantnet300k-v2,5,pretraining_only
Pilosocereus chrysostele,,plantnet300k-v2,10,pretraining_only
Pilosocereus pachycladus,,plantnet300k-v2,163,pretraining_only
Pilosocereus polygonus,,plantnet300k-v2,4,pretraining_only
Piriqueta cistoides,,plantnet300k-v2,6,pretraining_only
Pleurospermum austriacum,,plantnet300k-v2,4,pretraining_only
Pogonophora schomburgkiana,,plantnet300k-v2,10,pretraining_only
Pongamia pinnata,,plantnet300k-v2,76,pretraining_only
Potentilla indica,,plantnet300k-v2,386,pretraining_only
Prosopis farcta,,plantnet300k-v2,11,pretraining_only
Pterocephalus pterocephala,,plantnet300k-v2,5,pretraining_only
Pulsatilla alpina,,plantnet300k-v2,1686,pretraining_only
Pulsatilla halleri,,plantnet300k-v2,22,pretraining_only
Pulsatilla montana,,plantnet300k-v2,18,pretraining_only
Pulsatilla patens,,plantnet300k-v2,21,pretraining_only
Pulsatilla pratensis,,plantnet300k-v2,35,pretraining_only
Pulsatilla rubra,,plantnet300k-v2,91,pretraining_only
Pulsatilla vernalis,,plantnet300k-v2,224,pretraining_only
Pulsatilla vulgaris,,plantnet300k-v2,808,pretraining_only
Punica granatum,,plantnet300k-v2,3513,pretraining_only
Pyracantha coccinea,,plantnet300k-v2,4079,pretraining_only
Pyracantha crenulata,,plantnet300k-v2,53,pretraining_only
Pyracantha koidzumii,,plantnet300k-v2,21,pretraining_only
Ranunculus minimus,,plantnet300k-v2,18,pretraining_only
Raphia farinifera,,plantnet300k-v2,10,pretraining_only
Rhodanthe chlorocephala,,plantnet300k-v2,9,pretraining_only
Rhodocactus grandifolius,,plantnet300k-v2,71,pretraining_only
Rhodothamnus chamaecistus,,plantnet300k-v2,34,pretraining_only
Roemeria argemone,,plantnet300k-v2,291,pretraining_only
Roemeria sicula,,plantnet300k-v2,135,pretraining_only
Rumohra adiantiformis,,plantnet300k-v2,42,pretraining_only
Sagittaria graminea,,plantnet300k-v2,19,pretraining_only
Sagittaria lancifolia,,plantnet300k-v2,14,pretraining_only
Sagittaria latifolia,,plantnet300k-v2,99,pretraining_only
Sagittaria montevidensis,,plantnet300k-v2,16,pretraining_only
Sagittaria sagittifolia,,plantnet300k-v2,81,pretraining_only
Sagotia racemosa,,plantnet300k-v2,32,pretraining_only
Salvia abrotanoides,,plantnet300k-v2,95,pretraining_only
Salvia yangii,,plantnet300k-v2,1996,pretraining_only
Sasa palmata,,plantnet300k-v2,21,pretraining_only
Schefflera spp.,,plantnet300k-v2,7,pretraining_only
Schinopsis balansae,,plantnet300k-v2,4,pretraining_only
Schkuhria pinnata,,plantnet300k-v2,20,pretraining_only
Scilla peruviana,,plantnet300k-v2,154,pretraining_only
Secale cereale,,plantnet300k-v2,292,pretraining_only
Sedum acre,,plantnet300k-v2,2125,pretraining_only
Sedum adolphi,,plantnet300k-v2,826,pretraining_only
Sedum albomarginatum,,plantnet300k-v2,12,pretraining_only
Sedum album,,plantnet300k-v2,3086,pretraining_only
Sedum allantoides,,plantnet300k-v2,13,pretraining_only
Sedum alpestre,,plantnet300k-v2,28,pretraining_only
Sedum andegavense,,plantnet300k-v2,26,pretraining_only
Sedum anglicum,,plantnet300k-v2,147,pretraining_only
Sedum annuum,,plantnet300k-v2,5,pretraining_only
Sedum atratum,,plantnet300k-v2,82,pretraining_only
Sedum brevifolium,,plantnet300k-v2,79,pretraining_only
Sedum burrito,,plantnet300k-v2,319,pretraining_only
Sedum caeruleum,,plantnet300k-v2,101,pretraining_only
Sedum cepaea,,plantnet300k-v2,99,pretraining_only
Sedum cespitosum,,plantnet300k-v2,6,pretraining_only
Sedum clavatum,,plantnet300k-v2,144,pretraining_only
Sedum dasyphyllum,,plantnet300k-v2,776,pretraining_only
Sedum dendroideum,,plantnet300k-v2,59,pretraining_only
Sedum divergens,,plantnet300k-v2,5,pretraining_only
Sedum furfuraceum,,plantnet300k-v2,13,pretraining_only
Sedum glaucophyllum,,plantnet300k-v2,18,pretraining_only
Sedum hernandezii,,plantnet300k-v2,34,pretraining_only
Sedum hirsutum,,plantnet300k-v2,116,pretraining_only
Sedum hispanicum,,plantnet300k-v2,201,pretraining_only
Sedum japonicum,,plantnet300k-v2,94,pretraining_only
Sedum kimnachii,,plantnet300k-v2,6,pretraining_only
Sedum lanceolatum,,plantnet300k-v2,13,pretraining_only
Sedum laxum,,plantnet300k-v2,11,pretraining_only
Sedum lineare,,plantnet300k-v2,114,pretraining_only
Sedum litoreum,,plantnet300k-v2,12,pretraining_only
Sedum makinoi,,plantnet300k-v2,121,pretraining_only
Sedum mexicanum,,plantnet300k-v2,79,pretraining_only
Sedum moranense,,plantnet300k-v2,4,pretraining_only
Sedum morganianum,,plantnet300k-v2,630,pretraining_only
Sedum multiceps,,plantnet300k-v2,12,pretraining_only
Sedum niveum,,plantnet300k-v2,4,pretraining_only
Sedum obtusatum,,plantnet300k-v2,7,pretraining_only
Sedum oreganum,,plantnet300k-v2,10,pretraining_only
Sedum pachyphyllum,,plantnet300k-v2,314,pretraining_only
Sedum palmeri,,plantnet300k-v2,1595,pretraining_only
Sedum praealtum,,plantnet300k-v2,39,pretraining_only
Sedum pulchellum,,plantnet300k-v2,6,pretraining_only
Sedum rubens,,plantnet300k-v2,81,pretraining_only
Sedum sarmentosum,,plantnet300k-v2,132,pretraining_only
Sedum sexangulare,,plantnet300k-v2,324,pretraining_only
Sedum spathulifolium,,plantnet300k-v2,335,pretraining_only
Sedum ternatum,,plantnet300k-v2,61,pretraining_only
Sedum villosum,,plantnet300k-v2,12,pretraining_only
Sedum × rubrotinctum,,plantnet300k-v2,440,pretraining_only
Selenicereus anthonyanus,,plantnet300k-v2,233,pretraining_only
Selenicereus grandiflorus,,plantnet300k-v2,16,pretraining_only
Senecio minimus,,plantnet300k-v2,10,pretraining_only
Senegalia berlandieri,,plantnet300k-v2,6,pretraining_only
Senegalia brevispica,,plantnet300k-v2,13,pretraining_only
Senegalia mellifera,,plantnet300k-v2,30,pretraining_only
Senegalia senegal,,plantnet300k-v2,4,pretraining_only
Seriphium passerinoides,,plantnet300k-v2,22,pretraining_only
Smilax anceps,,plantnet300k-v2,9,pretraining_only
Smilax aspera,,plantnet300k-v2,1476,pretraining_only
Smilax bona-nox,,plantnet300k-v2,136,pretraining_only
Smilax china,,plantnet300k-v2,4,pretraining_only
Smilax excelsa,,plantnet300k-v2,6,pretraining_only
Smilax glauca,,plantnet300k-v2,14,pretraining_only
Smilax herbacea,,plantnet300k-v2,24,pretraining_only
Smilax laurifolia,,plantnet300k-v2,4,pretraining_only
Smilax rotundifolia,,plantnet300k-v2,146,pretraining_only
Smilax tamnoides,,plantnet300k-v2,17,pretraining_only
Spergularia rubra,,plantnet300k-v2,5,pretraining_only
Stanleya pinnata,,plantnet300k-v2,11,pretraining_only
Stellaria aquatica,,plantnet300k-v2,212,pretraining_only
Stemodia verticillata,,plantnet300k-v2,8,pretraining_only
Stenanona costaricensis,,plantnet300k-v2,5,pretraining_only
Stenocactus multicostatus,,plantnet300k-v2,30,pretraining_only
Striga asiatica,,plantnet300k-v2,17,pretraining_only
Strombocarpa pubescens,,plantnet300k-v2,4,pretraining_only
Strongylodon macrobotrys,,plantnet300k-v2,59,pretraining_only
Tabernaemontana undulata,,plantnet300k-v2,5,pretraining_only
Tagetes erecta,,plantnet300k-v2,4175,pretraining_only
Tagetes lemmonii,,plantnet300k-v2,21,pretraining_only
Tagetes lucida,,plantnet300k-v2,11,pretraining_only
Tagetes lunulata,,plantnet300k-v2,4,pretraining_only
Tagetes minuta,,plantnet300k-v2,120,pretraining_only
Tagetes tenuifolia,,plantnet300k-v2,84,pretraining_only
Telekia speciosa,,plantnet300k-v2,295,pretraining_only
Tephrocactus alexanderi,,plantnet300k-v2,6,pretraining_only
Tetraclinis articulata,,plantnet300k-v2,47,pretraining_only
Thapsia garganica,,plantnet300k-v2,33,pretraining_only
Thapsia villosa,,plantnet300k-v2,607,pretraining_only
Thelypteris limbosperma,,plantnet300k-v2,48,pretraining_only
Thesium alpinum,,plantnet300k-v2,24,pretraining_only
Thesium humifusum,,plantnet300k-v2,39,pretraining_only
Thesium linophyllon,,plantnet300k-v2,10,pretraining_only
Thesium pyrenaicum,,plantnet300k-v2,12,pretraining_only
Trachelospermum asiaticum,,plantnet300k-v2,18,pretraining_only
Trachelospermum jasminoides,,plantnet300k-v2,2442,pretraining_only
Tradescantia cerinthoides,,plantnet300k-v2,126,pretraining_only
Tradescantia crassifolia,,plantnet300k-v2,4,pretraining_only
Tradescantia fluminensis,,plantnet300k-v2,1302,pretraining_only
Tradescantia occidentalis,,plantnet300k-v2,20,pretraining_only
Tradescantia ohiensis,,plantnet300k-v2,185,pretraining_only
Tradescantia pallida,,plantnet300k-v2,2523,pretraining_only
Tradescantia sillamontana,,plantnet300k-v2,326,pretraining_only
Tradescantia spathacea,,plantnet300k-v2,1155,pretraining_only
Tradescantia subaspera,,plantnet300k-v2,6,pretraining_only
Tradescantia virginiana,,plantnet300k-v2,1400,pretraining_only
Tradescantia zebrina,,plantnet300k-v2,2469,pretraining_only
Tradescantia × andersoniana,,plantnet300k-v2,40,pretraining_only
Triadica sebifera,,plantnet300k-v2,95,pretraining_only
Trifolium alexandrinum,,plantnet300k-v2,21,pretraining_only
Trifolium alpestre,,plantnet300k-v2,183,pretraining_only
Trifolium alpinum,,plantnet300k-v2,364,pretraining_only
Trifolium angustifolium,,plantnet300k-v2,411,pretraining_only
Trifolium arvense,,plantnet300k-v2,812,pretraining_only
Trifolium aureum,,plantnet300k-v2,205,pretraining_only
Trifolium badium,,plantnet300k-v2,169,pretraining_only
Trifolium campestre,,plantnet300k-v2,905,pretraining_only
Trifolium cherleri,,plantnet300k-v2,14,pretraining_only
Trifolium dubium,,plantnet300k-v2,778,pretraining_only
